s,cname,name,c_id
http://example.com/heritage/id/66124366w,Japan,Shichikannon Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124367w,Japan,Zen'emon'yama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124371w,Japan,Hachizuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124373w,Japan,Suketayama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124374w,Japan,Nakayamazuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124375w,Japan,Yashimazuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124378w,Japan,"Ojin-tenno-ryo Kofun, Konda-maruyama Kofun and Futatsuzuka Kofun",http://example.com/country/id/17
http://example.com/heritage/id/66124380w,Japan,Higashiumazuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124381w,Japan,Kurizuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124382w,Japan,Higashiyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124383w,Japan,Nishiumazuka Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124384w,Japan,Jōganjiyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/66124385w,Japan,Aoyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/697278w,Japan,Amami Ōshima,http://example.com/country/id/17
http://example.com/heritage/id/700448w,Japan,Kamigamo Shrine,http://example.com/country/id/17
http://example.com/heritage/id/701620w,Japan,Shimogamo Shrine,http://example.com/country/id/17
http://example.com/heritage/id/701847w,Japan,Tokunoshima,http://example.com/country/id/17
http://example.com/heritage/id/705035w,Japan,Kumano Hongū Taisha,http://example.com/country/id/17
http://example.com/heritage/id/705154w,Japan,Niutsuhime Shrine,http://example.com/country/id/17
http://example.com/heritage/id/7077228w,Japan,Ōdai Yamamoto I Site,http://example.com/country/id/17
http://example.com/heritage/id/7082047w,Japan,Okinoshima,http://example.com/country/id/17
http://example.com/heritage/id/710359w,Japan,Kumano Nachi Taisha,http://example.com/country/id/17
http://example.com/heritage/id/734915w,Japan,Kosuge Slip Dock,http://example.com/country/id/17
http://example.com/heritage/id/7751872w,Japan,"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",http://example.com/country/id/17
http://example.com/heritage/id/7769551w,Japan,The Tomioka Silk Mill and Related Industrial Heritage,http://example.com/country/id/17
http://example.com/heritage/id/7818931w,Japan,Tomioka Silk Mill,http://example.com/country/id/17
http://example.com/heritage/id/8048278w,Japan,Yanbaru,http://example.com/country/id/17
http://example.com/heritage/id/869275w,Japan,Miho no Matsubara,http://example.com/country/id/17
http://example.com/heritage/id/874027w,Japan,Historic Monuments of Ancient Kyoto,http://example.com/country/id/17
http://example.com/heritage/id/877626w,Japan,Historic Villages of Shirakawa-gō and Gokayama,http://example.com/country/id/17
http://example.com/heritage/id/907052w,Japan,Shuri Castle,http://example.com/country/id/17
http://example.com/heritage/id/911970w,Japan,Sannai-Maruyama Site,http://example.com/country/id/17
http://example.com/heritage/id/917195w,Japan,Enryaku-ji,http://example.com/country/id/17
http://example.com/heritage/id/93643w,Japan,Hidden Christian Sites in the Nagasaki Region,http://example.com/country/id/17
http://example.com/heritage/id/945913w,Japan,Yakushi-ji,http://example.com/country/id/17
http://example.com/heritage/id/973175w,Japan,Tōshōdai-ji,http://example.com/country/id/17
http://example.com/heritage/id/975227w,Japan,Mōtsū-ji,http://example.com/country/id/17
http://example.com/heritage/id/980697w,Japan,South Iwo Jima,http://example.com/country/id/17
http://example.com/heritage/id/986750w,Japan,Kōzan-ji,http://example.com/country/id/17
