s,cname,name,c_id
113363698m,United Kingdom,Oban Museum,http://example.com/country/id/145
113363699m,United Kingdom,Shawbost Folk Museum,http://example.com/country/id/145
113363700m,United Kingdom,Ulster Aviation Society,http://example.com/country/id/145
113363701m,United Kingdom,Island Turf Craft & Bog Museum,http://example.com/country/id/145
113363702m,United Kingdom,Fermanagh County Museum,http://example.com/country/id/145
113363703m,United Kingdom,Staffin Dinosaur Museum,http://example.com/country/id/145
113363704m,United Kingdom,Irish Linen Centre And Lisburn Museum,http://example.com/country/id/145
113363705m,United Kingdom,The Argory,http://example.com/country/id/145
113363706m,United Kingdom,Dell Mill,http://example.com/country/id/145
113363707m,United Kingdom,Museum Bharraigh Agus Bhatarsaidh,http://example.com/country/id/145
113363708m,United Kingdom,Museum of the Isles,http://example.com/country/id/145
113363709m,United Kingdom,Skerryvore Lighthouse Museum,http://example.com/country/id/145
113363710m,United Kingdom,Museum Cheann Aloch,http://example.com/country/id/145
113363711m,United Kingdom,Police Museum,http://example.com/country/id/145
113363712m,United Kingdom,Sandaig Island Life Museum,http://example.com/country/id/145
113363713m,United Kingdom,Clan Macalister Charitable Trust,http://example.com/country/id/145
113363714m,United Kingdom,Ness Heritage Centre,http://example.com/country/id/145
113363715m,United Kingdom,Uig Heritage Centre,http://example.com/country/id/145
113363716m,United Kingdom,Newry And Mourne Museum,http://example.com/country/id/145
113363717m,United Kingdom,Belleek Pottery Visitor Centre Museum,http://example.com/country/id/145
113363718m,United Kingdom,Blackwater Valley Museum,http://example.com/country/id/145
113363719m,United Kingdom,"Museum Nan Eilean, Sgoil Lionacleit",http://example.com/country/id/145
113363720m,United Kingdom,Taigh-tasgaidh Chill Donnain,http://example.com/country/id/145
113363721m,United Kingdom,Giant Angus Macaskill Museum,http://example.com/country/id/145
113363722m,United Kingdom,Raasay Heritage Centre,http://example.com/country/id/145
113363723m,United Kingdom,Gearannon Blackhouse Village,http://example.com/country/id/145
113363724m,United Kingdom,Craigavon Museum Service,http://example.com/country/id/145
113363725m,United Kingdom,Pairc Museum,http://example.com/country/id/145
113363726m,United Kingdom,Iona Heritage Centre,http://example.com/country/id/145
113363727m,United Kingdom,Urras Eachdraidh Sgire Bhearnaraidh,http://example.com/country/id/145
113363728m,United Kingdom,Bernera Museum,http://example.com/country/id/145
113363729m,United Kingdom,Comunn Eachdraidh Nis,http://example.com/country/id/145
113363730m,United Kingdom,Museum of the Royal Irish Regiment,http://example.com/country/id/145
113363731m,United Kingdom,Taigh Chearsabhagh Museum And Arts Centre,http://example.com/country/id/145
113363732m,United Kingdom,Navan Centre & Fort,http://example.com/country/id/145
113363733m,United Kingdom,Mallaig Heritage Centre,http://example.com/country/id/145
113363734m,United Kingdom,Cardinal O Fiaich Heritage Centre,http://example.com/country/id/145
113363735m,United Kingdom,"Museum Nan Eilean, Steornabhagh",http://example.com/country/id/145
113363736m,United Kingdom,Lurgan History Museum,http://example.com/country/id/145
113363737m,United Kingdom,Barra Heritage & Cultural Centre,http://example.com/country/id/145
113363738m,United Kingdom,Oban War & Peace Museum,http://example.com/country/id/145
113363739m,United Kingdom,The Old Waiting Room,http://example.com/country/id/145
113363740m,United Kingdom,Bellaghy Bawn,http://example.com/country/id/145
113363741m,United Kingdom,Kilmartin House,http://example.com/country/id/145
113363742m,United Kingdom,Ross Of Mull Historical Centre,http://example.com/country/id/145
113363743m,United Kingdom,Barn Museum,http://example.com/country/id/145
113363744m,United Kingdom,Brookeborough Vintage Cycles Museum,http://example.com/country/id/145
113363745m,United Kingdom,Limavady Museum (Green Lane Museum),http://example.com/country/id/145
113363746m,United Kingdom,"Land, Sea And Island Centre",http://example.com/country/id/145
113363747m,United Kingdom,Roddy McCorley Museum,http://example.com/country/id/145
113363748m,United Kingdom,Slate Islands Heritage Trust Museum,http://example.com/country/id/145
113363749m,United Kingdom,Bright Water Visitor Centre,http://example.com/country/id/145
113363750m,United Kingdom,Dan Winters House - Ancestral Home In The Farm Yard,http://example.com/country/id/145
113363751m,United Kingdom,Headhunters Barber Shop & Railway Museum,http://example.com/country/id/145
113363752m,United Kingdom,Flame Gasworks Museum,http://example.com/country/id/145
113363753m,United Kingdom,Applecross Heritage Centre,http://example.com/country/id/145
113363754m,United Kingdom,Sentry Hill,http://example.com/country/id/145
113363755m,United Kingdom,The Abingdon Collection,http://example.com/country/id/145
113363757m,United Kingdom,Ionad Naomh Moluag,http://example.com/country/id/145
113363758m,United Kingdom,Oh Yeah Music Centre,http://example.com/country/id/145
113363759m,United Kingdom,Aughakillymaude Mummers Centre,http://example.com/country/id/145
113363760m,United Kingdom,Grey Point Fort,http://example.com/country/id/145
113363761m,United Kingdom,Canna House,http://example.com/country/id/145
113363762m,United Kingdom,F.e. Mcwilliam Gallery And Studio,http://example.com/country/id/145
113363763m,United Kingdom,Bann Valley Heritage,http://example.com/country/id/145
113363764m,United Kingdom,The Nally Heritage Centre,http://example.com/country/id/145
113363765m,United Kingdom,Limavady Museum,http://example.com/country/id/145
113363766m,United Kingdom,Museum At The Mill,http://example.com/country/id/145
113363767m,United Kingdom,Northern Irelands Secret Bunker - Cold War Museum,http://example.com/country/id/145
113363768m,United Kingdom,The Belfast Barge,http://example.com/country/id/145
113363770m,United Kingdom,Andy Tyrie Interpretive Centre,http://example.com/country/id/145
113363771m,United Kingdom,Inver Museum,http://example.com/country/id/145
113363772m,United Kingdom,St Columba Heritage Centre,http://example.com/country/id/145
113363773m,United Kingdom,Museum Of Orange Heritage - Schomberg House,http://example.com/country/id/145
113363774m,United Kingdom,Museum Of Orange Heritage - Sloan's House,http://example.com/country/id/145
113363775m,United Kingdom,Ulster Rugby Museum,http://example.com/country/id/145
113363776m,United Kingdom,American Museum,http://example.com/country/id/145
113363777m,United Kingdom,Seamus Heaney Homeplace,http://example.com/country/id/145
113363778m,United Kingdom,The Siege Museum,http://example.com/country/id/145
113363779m,United Kingdom,Irish Football Association Education and Heritage Centre,http://example.com/country/id/145
113363780m,United Kingdom,Belfast City Hall Visitor Exhibition,http://example.com/country/id/145
113363781m,United Kingdom,Coalisland Museum and Heritage Centre,http://example.com/country/id/145
113363782m,United Kingdom,West Cornwall Musical Museum,http://example.com/country/id/145
113363783m,United Kingdom,Age Of Steam,http://example.com/country/id/145
113363784m,United Kingdom,Barnes Museum of Cinematography,http://example.com/country/id/145
113363785m,United Kingdom,South Uist Folk Museum,http://example.com/country/id/145
113363786m,United Kingdom,British Cured Pilchards Ltd,http://example.com/country/id/145
113363787m,United Kingdom,Fernhill House: The People's Museum,http://example.com/country/id/145
113363788m,United Kingdom,Longstone Heritage Centre,http://example.com/country/id/145
113363789m,United Kingdom,Harbour Museum,http://example.com/country/id/145
113363790m,United Kingdom,Glendale Toy Museum,http://example.com/country/id/145
113363791m,United Kingdom,Causeway School Museum,http://example.com/country/id/145
113363792m,United Kingdom,Derry Workhouse Museum,http://example.com/country/id/145
113363793m,United Kingdom,National Gypsy Museum,http://example.com/country/id/145
113363794m,United Kingdom,Museum of Nautical Art,http://example.com/country/id/145
113363881m,United Kingdom,Reggie Morses Farm Museum,http://example.com/country/id/145
113363885m,United Kingdom,Picton Castle & Woodland Gardens,http://example.com/country/id/145
113363887m,United Kingdom,Cornwall Aviation Heritage Centre,http://example.com/country/id/145
113363888m,United Kingdom,Stewarton Museum,http://example.com/country/id/145
113363890m,United Kingdom,Harltand Quay Museum,http://example.com/country/id/145
