country_name,name,c_id,s
Argentina,Florida,http://example.com/country/id/414,http://example.com/building/id/3295272b
Argentina,Flowers Neighborhood Museum,http://example.com/country/id/414,65483961m
Argentina,Folk Museum,http://example.com/country/id/414,84526807m
Argentina,"Folkloric Museum ""María Lilia Otañez de Basso"".",http://example.com/country/id/414,111981683m
Argentina,Forensic Museum of National Justice Dr. Juan Bautista Bafico,http://example.com/country/id/414,63588925m
Argentina,Fortabat Art Collection,http://example.com/country/id/414,1108956m
Argentina,Foundation Historical Museum,http://example.com/country/id/414,84509227m
Argentina,Francisco 'Paco' Lores Museum of Galician Emigration in Argentina,http://example.com/country/id/414,65391617m
Argentina,Francisco Ceballos Popular Library Museum,http://example.com/country/id/414,84526601m
Argentina,Francisco P. Moreno Museum of Patagonia,http://example.com/country/id/414,5483730m
Argentina,Francisco Ramoneda Museum,http://example.com/country/id/414,84525490m
Argentina,Francisco Scutella Creole Museum,http://example.com/country/id/414,84530881m
Argentina,Fray José María Bottaro Regional Historical Museum,http://example.com/country/id/414,84524701m
Argentina,"French Embassy, Buenos Aires",http://example.com/country/id/414,http://example.com/building/id/926714b
Argentina,Fundación Proa,http://example.com/country/id/414,16570011m
Argentina,Gabriel Campomar Cervera Museum,http://example.com/country/id/414,84506148m
Argentina,Gaiman Regional Historical Museum,http://example.com/country/id/414,6034562m
Argentina,Gems Museum,http://example.com/country/id/414,84510146m
Argentina,Genaro Perez Museum,http://example.com/country/id/414,6033382m
Argentina,General Artigas Bridge,http://example.com/country/id/414,http://example.com/building/id/1853634b
Argentina,General Belgrano Bridge,http://example.com/country/id/414,http://example.com/building/id/3396551b
Argentina,General Manuel Belgrano Provincial Folk Museum,http://example.com/country/id/414,84534251m
Argentina,General Museum and Communal Archive of Arequito,http://example.com/country/id/414,84530506m
Argentina,General San Martin Historical Museum,http://example.com/country/id/414,84514469m
Argentina,Geographic Museum Dr. Juan B. Terán and Museum of Natural Sciences Ángel Gallardo,http://example.com/country/id/414,65392978m
Argentina,Geographical Museum Professor Miguel Ángel Fernández,http://example.com/country/id/414,65486199m
Argentina,Glaciarium,http://example.com/country/id/414,5566113m
Argentina,Graphic Archive Foundation and Historical Museum of the City of San Francisco and the Region,http://example.com/country/id/414,84521128m
Argentina,Graphic and Historical Museum of the La Plata Gymnastics and Fencing Club,http://example.com/country/id/414,84503105m
Argentina,Gregores Historical House Cultural Center,http://example.com/country/id/414,84526369m
Argentina,Guillermo Enrique Hudson Private Museum of Natural Sciences,http://example.com/country/id/414,84524668m
Argentina,Güemes Museum,http://example.com/country/id/414,111991042m
Argentina,Heritage Museum of the Palacio de las Aguas Corrientes,http://example.com/country/id/414,64764396m
Argentina,Hinenu Jewish Museum,http://example.com/country/id/414,84529438m
Argentina,Hipólito Yrigoyen Bridge,http://example.com/country/id/414,http://example.com/building/id/6091164b
Argentina,"Historic Solar Casa de Ozamis, Departmental Historical and Archaeological Museum Carlos Rusconi",http://example.com/country/id/414,84514655m
Argentina,Historical Archaeological Museum Prof. Juan Carlos Rivas,http://example.com/country/id/414,84523332m
