cname,s,country_id,name
Argentina,6033444m,http://example.com/country/id/414,Ibero-American Museum of Crafts
Argentina,6033484m,http://example.com/country/id/414,Museum of Contemporary Art Raúl Lozza
Argentina,6033531m,http://example.com/country/id/414,Municipal Museum of Natural Sciences Punta Hermengo
Argentina,6033539m,http://example.com/country/id/414,Municipal Museum of Natural Sciences Pachamama
Argentina,6033618m,http://example.com/country/id/414,Museo Nacional del Petróleo
Argentina,6033631m,http://example.com/country/id/414,Nocenta Pisetta Museum
Argentina,6033644m,http://example.com/country/id/414,Museo Pachamama
Argentina,6033667m,http://example.com/country/id/414,Argentine Penitentiary Museum Antonio Ballvé
Argentina,6033679m,http://example.com/country/id/414,Casa Rosada Presidential Museum
Argentina,6033684m,http://example.com/country/id/414,Rosa Galisteo de Rodríguez Fines Arts Provincial Museum
Argentina,6033685m,http://example.com/country/id/414,Museo Provincial de Bellas Artes Franklin Rawson
Argentina,6033687m,http://example.com/country/id/414,Dr. Ángel Gallardo Provincial Natural Sciences Museum
Argentina,6033689m,http://example.com/country/id/414,Carlos Ameghino Provincial Museum
Argentina,6033737m,http://example.com/country/id/414,Museum of Religious Art Bishop Fray José Antonio de San Alberto
Argentina,6033853m,http://example.com/country/id/414,Museum of Contemporary Latin American Art of La Plata
Argentina,6033866m,http://example.com/country/id/414,Museum of Contemporary Art of Rosario
Argentina,6033878m,http://example.com/country/id/414,Ushuaia Marine Art Museum
Argentina,6033895m,http://example.com/country/id/414,Religious Art Museum Juan de Tejeda
Argentina,6033930m,http://example.com/country/id/414,Museum of Argentine Artists Benito Quinquela Martín
Argentina,6033938m,http://example.com/country/id/414,Museum of Fine Arts Fernán Félix de Amador
Argentina,6033978m,http://example.com/country/id/414,Provincial Museum of Natural Sciences President Dr. Arturo Illia
Argentina,6034007m,http://example.com/country/id/414,Museum of Geology and Paleontology of the National University of Comahue
Argentina,6034071m,http://example.com/country/id/414,"Ituzaingó Museum ""Clarisse Columbie de Goyaud"""
Argentina,6034170m,http://example.com/country/id/414,Emilio Azzarini Museum of Musical Instruments
Argentina,6034219m,http://example.com/country/id/414,Museum of the City of Rosario Wladimir Mikielievich
Argentina,6034316m,http://example.com/country/id/414,Vine and Wine Museum
Argentina,6034332m,http://example.com/country/id/414,Museum of the Bells
Argentina,6034386m,http://example.com/country/id/414,Pink House Museum
Argentina,6034422m,http://example.com/country/id/414,Landing Museum
Argentina,6034447m,http://example.com/country/id/414,Buenos Aires Holocaust Museum
Argentina,6034452m,http://example.com/country/id/414,Museo del Libro Gardel y su Tiempo
Argentina,6034498m,http://example.com/country/id/414,Malvinas Soldier Museum
Argentina,6034515m,http://example.com/country/id/414,Mendoza Wine Museum
Argentina,6034545m,http://example.com/country/id/414,Museum of the Foundation Area
Argentina,6034562m,http://example.com/country/id/414,Gaiman Regional Historical Museum
Argentina,6034573m,http://example.com/country/id/414,Municipal Museum of Visual Arts
Argentina,6034597m,http://example.com/country/id/414,Provincial Museum of Fine Arts (Salta)
Argentina,6034599m,http://example.com/country/id/414,Provincial Museum of Natural and Oceanographic Sciences
Argentina,6034603m,http://example.com/country/id/414,Desiderio Torres Regional Museum
Argentina,606675b,http://example.com/country/id/414,Planetario Galileo Galilei
Argentina,6083443m,http://example.com/country/id/414,Posta de Hornillos
Argentina,6091164b,http://example.com/country/id/414,Hipólito Yrigoyen Bridge
