s,hotel_name,country_name
6044861h,"InterContinental Chicago Magnificent Mile, an IHG Hotel",United States of America
60452089h,Hilton Cape Town City Centre,South Africa
6058109h,Antiguo Hotel Miramar,Spain
60641676h,"Grand Tirolia Hotel Kitzbuhel, Curio Collection by Hilton",Austria
60642328h,Canopy by Hilton Zagreb - City Centre,Croatia
60732352h,Hilton Garden Inn Dubai Al Jadaf Culture Village,United Arab Emirates
60746742h,The Durant,United States of America
60748351h,Harvey Hotel,United States of America
60767158h,Oakland Hotel,United States of America
60847568h,King's Casino Rozvadov,Czech Republic
60912347h,Hampton by Hilton Freiburg,Germany
6108856h,JR Central Towers,Japan
61090457h,Transcorp Hilton Abuja,Nigeria
6109260h,JW Marriott San Francisco Union Square,United States of America
6109264h,JW Marriott Las Vegas,United States of America
61100884h,DoubleTree by Hilton Hotel London - West End,United Kingdom
61114082h,"La Bagnaia Golf & Spa Resort Siena, Curio Collection by Hilton",Italy
61165878h,"Hilton at St George's Park, Burton Upon Trent",United Kingdom
61357012h,Semnani House,Iran
61465403h,DoubleTree by Hilton Hotel Tyumen,Russia
61567322h,Hilton Newcastle Gateshead,United Kingdom
61573625h,Hilton Surfers Paradise Hotel & Residences,Australia
616726h,Hooters Casino Hotel,United States of America
61717587h,Hilton London Gatwick Airport,United Kingdom
6172690h,Jeddah Hilton Hotel,Saudi Arabia
61741817h,The International,United States of America
61868406h,DoubleTree by Hilton Hotel Woking,United Kingdom
61885625h,Hilton Marsa Alam Nubian Resort,Egypt
61888685h,Hilton Fiji Beach Resort and Spa,Fiji
61897167h,Conrad Bangkok,Thailand
62068054h,Conrad Cairo,Egypt
62479268h,Hampton by Hilton Munich City West,Germany
63164854h,Hilton Garden Inn Luton North,United Kingdom
63190257h,Hilton Brisbane,Australia
63296024h,Hilton Garden Inn Kuala Lumpur Jalan Tuanku Abdul Rahman South,Malaysia
634258h,Veer Towers,United States of America
63435869h,Fort Worth Club Building,United States of America
63608863h,DoubleTree by Hilton Hotel London - Victoria,United Kingdom
637389h,Luxor Resort & Casino,United States of America
63790123h,Hilton Garden Inn Kampala,Uganda
63832005h,Hampton by Hilton Warsaw Mokotow,Poland
