s,object_type
104144921b,http://example.com/ontology/Building
1041478b,http://example.com/ontology/Building
1041505b,http://example.com/ontology/Building
104157193m,http://example.com/ontology/Museum
1041606b,http://example.com/ontology/Building
1041612b,http://example.com/ontology/Building
104170346m,http://example.com/ontology/Museum
1041737m,http://example.com/ontology/Museum
1041796b,http://example.com/ontology/Building
1041831b,http://example.com/ontology/Building
10419743b,http://example.com/ontology/Building
1042102b,http://example.com/ontology/Building
1042118b,http://example.com/ontology/Building
1042137b,http://example.com/ontology/Building
104216887b,http://example.com/ontology/Building
1042170b,http://example.com/ontology/Building
1042178b,http://example.com/ontology/Building
104219666b,http://example.com/ontology/Building
104220570b,http://example.com/ontology/Building
1042207b,http://example.com/ontology/Building
104223675b,http://example.com/ontology/Building
104224661b,http://example.com/ontology/Building
104234251h,http://example.com/ontology/Hotel
10423435m,http://example.com/ontology/Museum
10423688m,http://example.com/ontology/Museum
104237660m,http://example.com/ontology/Museum
10424690m,http://example.com/ontology/Museum
104249648m,http://example.com/ontology/Museum
10426084m,http://example.com/ontology/Museum
1042639b,http://example.com/ontology/Building
10427890m,http://example.com/ontology/Museum
10427893m,http://example.com/ontology/Museum
10428447m,http://example.com/ontology/Museum
10428494w,http://example.com/ontology/Heritage
10429277m,http://example.com/ontology/Museum
10429834m,http://example.com/ontology/Museum
10429920m,http://example.com/ontology/Museum
10430533m,http://example.com/ontology/Museum
10430701b,http://example.com/ontology/Building
10432135m,http://example.com/ontology/Museum
10433908m,http://example.com/ontology/Museum
10434046m,http://example.com/ontology/Museum
1043438b,http://example.com/ontology/Building
10434733m,http://example.com/ontology/Museum
104381465b,http://example.com/ontology/Building
104381471m,http://example.com/ontology/Museum
104386988m,http://example.com/ontology/Museum
10439349m,http://example.com/ontology/Museum
1043966b,http://example.com/ontology/Building
1044149b,http://example.com/ontology/Building
104425267b,http://example.com/ontology/Building
1044279b,http://example.com/ontology/Building
10443031m,http://example.com/ontology/Museum
10443072m,http://example.com/ontology/Museum
104441744m,http://example.com/ontology/Museum
10444176w,http://example.com/ontology/Heritage
1044613b,http://example.com/ontology/Building
10448224b,http://example.com/ontology/Building
1044833b,http://example.com/ontology/Building
1044919b,http://example.com/ontology/Building
104519416m,http://example.com/ontology/Museum
104520611b,http://example.com/ontology/Building
104520764b,http://example.com/ontology/Building
104527429m,http://example.com/ontology/Museum
104529940b,http://example.com/ontology/Building
104531835m,http://example.com/ontology/Museum
104535035b,http://example.com/ontology/Building
10453586b,http://example.com/ontology/Building
1045385b,http://example.com/ontology/Building
104587975m,http://example.com/ontology/Museum
